timestamp,value,metric
2025-06-19 22:30:08,0.056,max(server_latency)
2025-06-19 22:30:09,0.059,max(server_latency)
2025-06-19 22:30:10,0.053,max(server_latency)
2025-06-19 22:30:11,0.05,max(server_latency)
2025-06-19 22:30:12,0.058,max(server_latency)
2025-06-19 22:30:13,0.297,max(server_latency)
2025-06-19 22:30:14,0.058,max(server_latency)
2025-06-19 22:30:15,0.057,max(server_latency)
2025-06-19 22:30:16,0.16,max(server_latency)
2025-06-19 22:30:17,0.052,max(server_latency)
2025-06-19 22:30:18,0.054,max(server_latency)
2025-06-19 22:30:19,0.054,max(server_latency)
2025-06-19 22:30:20,0.062,max(server_latency)
2025-06-19 22:30:21,0.048,max(server_latency)
2025-06-19 22:30:22,0.069,max(server_latency)
2025-06-19 22:30:23,0.051,max(server_latency)
2025-06-19 22:30:24,0.05,max(server_latency)
2025-06-19 22:30:25,0.056,max(server_latency)
2025-06-19 22:30:26,0.059,max(server_latency)
2025-06-19 22:30:27,0.058,max(server_latency)
2025-06-19 22:30:28,0.056,max(server_latency)
2025-06-19 22:30:29,0.059,max(server_latency)
2025-06-19 22:30:30,0.053,max(server_latency)
2025-06-19 22:30:31,0.052,max(server_latency)
2025-06-19 22:30:32,0.054,max(server_latency)
2025-06-19 22:30:33,0.084,max(server_latency)
2025-06-19 22:30:34,0.053,max(server_latency)
2025-06-19 22:30:35,0.054,max(server_latency)
2025-06-19 22:30:36,0.055,max(server_latency)
2025-06-19 22:30:37,0.053,max(server_latency)
2025-06-19 22:30:38,0.053,max(server_latency)
2025-06-19 22:30:39,0.059,max(server_latency)
2025-06-19 22:30:40,0.048,max(server_latency)
2025-06-19 22:30:41,0.056,max(server_latency)
2025-06-19 22:30:42,0.046,max(server_latency)
2025-06-19 22:30:43,0.051,max(server_latency)
2025-06-19 22:30:44,0.059,max(server_latency)
2025-06-19 22:30:45,0.048,max(server_latency)
2025-06-19 22:30:46,0.052,max(server_latency)
2025-06-19 22:30:47,0.051,max(server_latency)
2025-06-19 22:30:48,0.051,max(server_latency)
