timestamp,value,metric
2025-06-11 21:21:52,0.039,max(server_latency)
2025-06-11 21:21:53,0.108,max(server_latency)
2025-06-11 21:21:54,0.022,max(server_latency)
2025-06-11 21:21:55,0.074,max(server_latency)
2025-06-11 21:21:56,0.016,max(server_latency)
2025-06-11 21:21:57,0.034,max(server_latency)
2025-06-11 21:21:58,0.017,max(server_latency)
2025-06-11 21:21:59,0.05,max(server_latency)
2025-06-11 21:22:00,0.016,max(server_latency)
2025-06-11 21:22:01,0.061,max(server_latency)
2025-06-11 21:22:02,0.008,max(server_latency)
2025-06-11 21:22:03,0.072,max(server_latency)
2025-06-11 21:22:04,0.015,max(server_latency)
2025-06-11 21:22:05,0.01,max(server_latency)
2025-06-11 21:22:06,0.013,max(server_latency)
2025-06-11 21:22:07,0.012,max(server_latency)
2025-06-11 21:22:08,0.013,max(server_latency)
2025-06-11 21:22:09,0.046,max(server_latency)
2025-06-11 21:22:10,0.019,max(server_latency)
2025-06-11 21:22:11,0.026,max(server_latency)
2025-06-11 21:22:12,0.022,max(server_latency)
2025-06-11 21:22:13,0.019,max(server_latency)
2025-06-11 21:22:14,0.017,max(server_latency)
2025-06-11 21:22:15,0.016,max(server_latency)
2025-06-11 21:22:16,0.017,max(server_latency)
2025-06-11 21:22:17,0.088,max(server_latency)
2025-06-11 21:22:18,0.027,max(server_latency)
2025-06-11 21:22:19,0.106,max(server_latency)
2025-06-11 21:22:20,0.025,max(server_latency)
2025-06-11 21:22:21,0.023,max(server_latency)
2025-06-11 21:22:22,0.021,max(server_latency)
2025-06-11 21:22:23,0.021,max(server_latency)
2025-06-11 21:22:24,0.022,max(server_latency)
2025-06-11 21:22:25,0.082,max(server_latency)
2025-06-11 21:22:26,0.027,max(server_latency)
2025-06-11 21:22:27,0.082,max(server_latency)
2025-06-11 21:22:28,0.024,max(server_latency)
2025-06-11 21:22:29,0.031,max(server_latency)
2025-06-11 21:22:30,0.027,max(server_latency)
2025-06-11 21:22:31,0.025,max(server_latency)
2025-06-11 21:22:32,0.047,max(server_latency)
2025-06-11 21:22:33,0.043,max(server_latency)
2025-06-11 21:22:34,0.045,max(server_latency)
2025-06-11 21:22:35,0.04,max(server_latency)
2025-06-11 21:22:36,0.046,max(server_latency)
2025-06-11 21:22:37,0.049,max(server_latency)
2025-06-11 21:22:38,0.067,max(server_latency)
2025-06-11 21:22:39,0.048,max(server_latency)
2025-06-11 21:22:40,0.07,max(server_latency)
2025-06-11 21:22:41,0.047,max(server_latency)
2025-06-11 21:22:42,0.041,max(server_latency)
2025-06-11 21:22:43,0.043,max(server_latency)
2025-06-11 21:22:44,0.041,max(server_latency)
2025-06-11 21:22:45,0.047,max(server_latency)
2025-06-11 21:22:46,0.039,max(server_latency)
2025-06-11 21:22:47,0.07,max(server_latency)
2025-06-11 21:22:48,0.051,max(server_latency)
2025-06-11 21:22:49,0.04,max(server_latency)
2025-06-11 21:22:50,0.042,max(server_latency)
2025-06-11 21:22:51,0.049,max(server_latency)
2025-06-11 21:22:52,0.074,max(server_latency)
2025-06-11 21:22:53,0.047,max(server_latency)
2025-06-11 21:22:54,0.044,max(server_latency)
2025-06-11 21:22:55,0.043,max(server_latency)
2025-06-11 21:22:56,0.047,max(server_latency)
2025-06-11 21:22:57,0.044,max(server_latency)
2025-06-11 21:22:58,0.037,max(server_latency)
2025-06-11 21:22:59,0.043,max(server_latency)
2025-06-11 21:23:00,0.048,max(server_latency)
2025-06-11 21:23:01,0.04,max(server_latency)
2025-06-11 21:23:02,0.041,max(server_latency)
2025-06-11 21:23:03,0.105,max(server_latency)
2025-06-11 21:23:04,0.04,max(server_latency)
2025-06-11 21:23:05,0.04,max(server_latency)
2025-06-11 21:23:06,0.053,max(server_latency)
2025-06-11 21:23:07,0.014,max(server_latency)
2025-06-11 21:23:08,0.047,max(server_latency)
2025-06-11 21:23:09,0.041,max(server_latency)
2025-06-11 21:23:10,0.035,max(server_latency)
2025-06-11 21:23:11,0.034,max(server_latency)
2025-06-11 21:23:12,0.035,max(server_latency)
2025-06-11 21:23:13,0.034,max(server_latency)
2025-06-11 21:23:14,0.029,max(server_latency)
2025-06-11 21:23:15,0.035,max(server_latency)
2025-06-11 21:23:16,0.033,max(server_latency)
2025-06-11 21:23:17,0.034,max(server_latency)
2025-06-11 21:23:18,0.036,max(server_latency)
2025-06-11 21:23:19,0.053,max(server_latency)
2025-06-11 21:23:20,0.04,max(server_latency)
2025-06-11 21:23:21,0.073,max(server_latency)
2025-06-11 21:23:22,0.037,max(server_latency)
2025-06-11 21:23:23,0.031,max(server_latency)
2025-06-11 21:23:24,0.038,max(server_latency)
2025-06-11 21:23:25,0.047,max(server_latency)
2025-06-11 21:23:26,0.032,max(server_latency)
2025-06-11 21:23:27,0.034,max(server_latency)
2025-06-11 21:23:28,0.045,max(server_latency)
2025-06-11 21:23:29,0.039,max(server_latency)
2025-06-11 21:23:30,0.042,max(server_latency)
2025-06-11 21:23:31,0.033,max(server_latency)
2025-06-11 21:23:32,0.021,max(server_latency)
2025-06-11 21:23:33,0.032,max(server_latency)
2025-06-11 21:23:34,0.031,max(server_latency)
2025-06-11 21:23:35,0.049,max(server_latency)
2025-06-11 21:23:36,0.027,max(server_latency)
2025-06-11 21:23:37,0.039,max(server_latency)
2025-06-11 21:23:38,0.034,max(server_latency)
2025-06-11 21:23:39,0.033,max(server_latency)
2025-06-11 21:23:40,0.055,max(server_latency)
2025-06-11 21:23:41,0.048,max(server_latency)
2025-06-11 21:23:42,0.028,max(server_latency)
2025-06-11 21:23:43,0.033,max(server_latency)
2025-06-11 21:23:44,0.032,max(server_latency)
2025-06-11 21:23:45,0.036,max(server_latency)
2025-06-11 21:23:46,0.046,max(server_latency)
2025-06-11 21:23:47,0.031,max(server_latency)
2025-06-11 21:23:48,0.055,max(server_latency)
2025-06-11 21:23:49,0.054,max(server_latency)
2025-06-11 21:23:50,0.049,max(server_latency)
2025-06-11 21:23:51,0.045,max(server_latency)
2025-06-11 21:23:52,0.046,max(server_latency)
2025-06-11 21:23:53,0.035,max(server_latency)
2025-06-11 21:23:54,0.044,max(server_latency)
2025-06-11 21:23:55,0.047,max(server_latency)
2025-06-11 21:23:56,0.056,max(server_latency)
2025-06-11 21:23:57,0.06,max(server_latency)
2025-06-11 21:23:58,0.034,max(server_latency)
2025-06-11 21:23:59,0.049,max(server_latency)
2025-06-11 21:24:00,0.052,max(server_latency)
2025-06-11 21:24:01,0.04,max(server_latency)
2025-06-11 21:24:02,0.041,max(server_latency)
2025-06-11 21:24:03,0.038,max(server_latency)
