timestamp,value,metric,owner
2025-06-11 21:55:43,85.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:44,139.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:45,203.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:46,300.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:47,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:48,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:49,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:50,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:51,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:52,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:53,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:54,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:55,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:56,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:57,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:58,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:55:59,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:00,363.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:01,367.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:02,388.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:03,412.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:04,449.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:05,510.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:06,564.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:07,580.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:08,609.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:09,619.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:10,641.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:11,641.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:12,641.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:13,641.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:14,641.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:15,641.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:16,641.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
2025-06-11 21:56:17,641.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4549p
