timestamp,value,metric
2025-06-23 12:14:20,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:21,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:22,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:23,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:24,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:25,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:26,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:27,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:28,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:29,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:30,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:31,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:32,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:33,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:34,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:35,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:36,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:37,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:38,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:39,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:40,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:41,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:42,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:43,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:44,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:45,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:46,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:47,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:48,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:49,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:50,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:51,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:52,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:53,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:54,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:55,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:56,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:57,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:58,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:14:59,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:00,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:01,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:02,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:03,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:04,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:05,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:06,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:07,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:08,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:09,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:10,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:11,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:12,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:13,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:14,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:15,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:16,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:17,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:18,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:19,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:20,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:21,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:22,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:23,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:24,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:25,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:26,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:27,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:28,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:29,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:30,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:31,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:32,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:33,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:34,1.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:35,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:36,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:37,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:38,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:39,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:40,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:41,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:42,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:43,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:44,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:45,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:46,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:47,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:48,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:49,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:50,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:51,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:52,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:53,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:54,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:55,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:56,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:57,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:58,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:15:59,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:00,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:01,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:02,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:03,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:04,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:05,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:06,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:07,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:08,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:09,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:10,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:11,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:12,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:13,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:14,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:15,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:16,2.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:17,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:18,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:19,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:20,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:21,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:22,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:23,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:24,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:25,3.0,count(count by(server_name) (mc_tps))
2025-06-23 12:16:26,3.0,count(count by(server_name) (mc_tps))
