timestamp,value,metric,chunk_owner
2025-06-23 12:14:24,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:14:27,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:14:40,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:16:00,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:16:01,2.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:16:02,4.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:17:26,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:17:31,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:18:30,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:18:31,2.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:19:01,2.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:19:05,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:19:31,2.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:19:42,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:20:17,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:21:03,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:21:04,2.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:21:05,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:23:23,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:23:31,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:25:37,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-23 12:17:32,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:33,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:34,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:35,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:36,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:37,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:38,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:39,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:40,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:41,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:42,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:43,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:44,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:45,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:46,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:47,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:48,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:49,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:50,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:51,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:52,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:53,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:54,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:55,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:56,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:57,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:01,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:02,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:03,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:04,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:05,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:06,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:07,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:08,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:09,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:10,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:11,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:12,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:13,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:14,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:15,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:16,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:17,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:18,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:19,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:20,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:21,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:22,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:23,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:24,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:25,6.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:26,7.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:27,7.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:28,8.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:29,8.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:30,8.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:31,11.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:32,13.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:33,12.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:34,14.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:35,16.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:36,16.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:37,15.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:38,15.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:39,15.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:40,17.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:41,17.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:42,16.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:43,16.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:44,18.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:45,19.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:46,20.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:47,20.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:48,19.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:49,19.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:50,20.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:51,22.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:52,22.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:53,23.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:54,24.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:55,24.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:56,24.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:57,26.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:58,26.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:18:59,27.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:00,21.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:01,30.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:02,28.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:03,30.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:04,32.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:05,34.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:06,35.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:07,36.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:08,34.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:09,38.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:10,35.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:11,36.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:12,33.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:13,33.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:14,32.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:15,32.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:16,34.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:17,35.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:18,36.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:19:19,36.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-b6jr2
