timestamp,value,metric,owner
2025-06-23 12:17:31,4.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:32,125.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:33,194.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:34,279.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:35,350.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:36,442.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:37,453.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:38,468.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:39,462.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:40,498.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:41,533.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:42,508.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:43,544.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:44,552.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:45,591.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:46,598.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:47,604.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:48,627.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:49,654.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:50,674.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:51,709.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:52,711.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:53,723.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:54,757.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
2025-06-23 12:17:55,759.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-b6jr2
