timestamp,value,metric
2025-06-23 12:14:20,0.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:21,0.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:22,0.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:23,0.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:24,1.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:25,1.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:26,2.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:27,3.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:28,3.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:29,4.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:30,4.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:31,5.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:32,5.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:33,6.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:34,6.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:35,7.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:36,8.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:37,8.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:38,9.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:39,9.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:40,10.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:41,10.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:42,11.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:43,11.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:44,12.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:45,12.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:46,13.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:47,13.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:48,14.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:49,14.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:50,15.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:51,15.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:52,16.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:53,16.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:54,17.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:55,17.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:56,17.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:57,18.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:58,18.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:14:59,19.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:00,19.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:01,20.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:02,21.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:03,21.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:04,22.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:05,23.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:06,23.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:07,24.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:08,25.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:09,25.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:10,26.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:11,26.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:12,27.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:13,27.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:14,28.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:15,28.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:16,29.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:17,29.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:18,30.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:19,30.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:20,31.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:21,31.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:22,32.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:23,33.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:24,33.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:25,34.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:26,34.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:27,35.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:28,35.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:29,36.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:30,36.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:31,37.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:32,38.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:33,38.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:34,39.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:35,39.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:36,40.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:37,40.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:38,40.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:39,40.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:40,40.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:41,40.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:42,41.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:43,41.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:44,42.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:45,42.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:46,43.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:47,43.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:48,44.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:49,45.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:50,45.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:51,46.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:52,46.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:53,47.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:54,47.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:55,48.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:56,48.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:57,49.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:58,50.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:15:59,50.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:00,51.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:01,32.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:02,52.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:03,52.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:04,53.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:05,53.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:06,54.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:07,54.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:08,55.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:09,55.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:10,56.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:11,56.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:12,57.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:13,57.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:14,58.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:15,58.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:16,59.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:17,60.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:18,60.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:19,60.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:20,60.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:21,60.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:22,60.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:23,60.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:24,61.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:25,61.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:26,62.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:27,62.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:28,63.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:29,63.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:30,64.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:31,61.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:32,65.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:33,65.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:34,66.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:35,66.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:36,67.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:37,68.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:38,68.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:39,69.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:40,69.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:41,70.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:42,70.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:43,70.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:44,71.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:45,71.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:46,72.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:47,72.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:48,73.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:49,73.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:50,74.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:51,74.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:52,75.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:53,75.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:54,76.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:55,76.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:56,77.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:57,77.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:58,78.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:16:59,78.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:00,79.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:01,63.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:02,80.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:03,80.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:04,80.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:05,80.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:06,80.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:07,80.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:08,80.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:09,80.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:10,81.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:11,82.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:12,82.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:13,83.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:14,83.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:15,84.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:16,84.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:17,85.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:18,85.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:19,86.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:20,86.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:21,86.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:22,87.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:23,87.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:24,88.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:25,89.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:26,89.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:27,89.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:28,90.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:29,90.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:30,91.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:31,91.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:32,92.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:33,93.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:34,93.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:35,94.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:36,94.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:37,95.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:38,95.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:39,96.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:40,96.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:41,97.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:42,97.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:43,98.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:44,98.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:45,99.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:46,99.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:47,100.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:48,101.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:49,101.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:50,102.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:51,102.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:52,103.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:53,104.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:54,104.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:55,105.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:56,105.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:57,106.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:58,106.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:17:59,107.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:00,107.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:01,104.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:02,105.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:03,108.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:04,109.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:05,109.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:06,110.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:07,110.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:08,111.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:09,111.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:10,112.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:11,112.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:12,113.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:13,113.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:14,114.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:15,114.0,sum(mc_players_online_local{world='world'})
2025-06-23 12:18:16,115.0,sum(mc_players_online_local{world='world'})
