timestamp,value,metric
2025-06-11 15:08:36,1.885,avg(server_latency)
2025-06-11 15:08:37,0.867,avg(server_latency)
2025-06-11 15:08:38,0.012,avg(server_latency)
2025-06-11 15:08:39,0.012,avg(server_latency)
2025-06-11 15:08:40,0.007,avg(server_latency)
2025-06-11 15:08:41,0.009,avg(server_latency)
2025-06-11 15:08:42,0.025,avg(server_latency)
2025-06-11 15:08:43,0.004,avg(server_latency)
2025-06-11 15:08:44,0.021,avg(server_latency)
2025-06-11 15:08:45,0.015,avg(server_latency)
2025-06-11 15:08:46,0.026,avg(server_latency)
2025-06-11 15:08:47,0.008,avg(server_latency)
2025-06-11 15:08:48,0.005,avg(server_latency)
2025-06-11 15:08:49,0.012,avg(server_latency)
2025-06-11 15:08:50,0.006,avg(server_latency)
2025-06-11 15:08:51,0.004,avg(server_latency)
2025-06-11 15:08:52,0.014,avg(server_latency)
2025-06-11 15:08:53,0.019,avg(server_latency)
2025-06-11 15:08:54,0.016,avg(server_latency)
2025-06-11 15:08:55,0.007,avg(server_latency)
2025-06-11 15:08:56,0.007,avg(server_latency)
2025-06-11 15:08:57,0.005,avg(server_latency)
2025-06-11 15:08:58,0.017,avg(server_latency)
2025-06-11 15:08:59,0.005,avg(server_latency)
2025-06-11 15:09:00,0.017,avg(server_latency)
2025-06-11 15:09:01,0.005,avg(server_latency)
2025-06-11 15:09:02,0.005,avg(server_latency)
2025-06-11 15:09:03,0.027,avg(server_latency)
2025-06-11 15:09:04,0.017,avg(server_latency)
2025-06-11 15:09:05,0.005,avg(server_latency)
2025-06-11 15:09:06,0.012,avg(server_latency)
2025-06-11 15:09:07,0.004,avg(server_latency)
2025-06-11 15:09:08,0.009,avg(server_latency)
2025-06-11 15:09:09,0.006,avg(server_latency)
2025-06-11 15:09:10,0.004,avg(server_latency)
2025-06-11 15:09:11,0.028,avg(server_latency)
2025-06-11 15:09:12,0.005,avg(server_latency)
2025-06-11 15:09:13,0.015,avg(server_latency)
2025-06-11 15:09:14,0.008,avg(server_latency)
2025-06-11 15:09:15,0.087,avg(server_latency)
2025-06-11 15:09:16,0.012,avg(server_latency)
2025-06-11 15:09:17,0.012,avg(server_latency)
2025-06-11 15:09:18,0.016,avg(server_latency)
2025-06-11 15:09:19,0.03,avg(server_latency)
2025-06-11 15:09:20,0.015,avg(server_latency)
2025-06-11 15:09:21,0.08,avg(server_latency)
2025-06-11 15:09:22,0.006,avg(server_latency)
2025-06-11 15:09:23,0.026,avg(server_latency)
2025-06-11 15:09:24,0.031,avg(server_latency)
2025-06-11 15:09:25,0.018,avg(server_latency)
2025-06-11 15:09:26,0.009,avg(server_latency)
2025-06-11 15:09:27,0.008,avg(server_latency)
2025-06-11 15:09:28,0.086,avg(server_latency)
2025-06-11 15:09:29,2.767,avg(server_latency)
2025-06-11 15:09:30,3.178,avg(server_latency)
2025-06-11 15:09:31,3.68,avg(server_latency)
2025-06-11 15:09:32,3.757,avg(server_latency)
2025-06-11 15:09:33,2.761,avg(server_latency)
2025-06-11 15:09:34,0.739,avg(server_latency)
2025-06-11 15:09:35,0.171,avg(server_latency)
2025-06-11 15:09:36,0.03,avg(server_latency)
2025-06-11 15:09:37,0.01,avg(server_latency)
2025-06-11 15:09:38,0.023,avg(server_latency)
2025-06-11 15:09:39,0.026,avg(server_latency)
2025-06-11 15:09:40,0.017,avg(server_latency)
2025-06-11 15:09:41,0.011,avg(server_latency)
2025-06-11 15:09:42,0.01,avg(server_latency)
2025-06-11 15:09:43,0.032,avg(server_latency)
2025-06-11 15:09:44,0.012,avg(server_latency)
2025-06-11 15:09:45,0.005,avg(server_latency)
2025-06-11 15:09:46,0.016,avg(server_latency)
2025-06-11 15:09:47,0.018,avg(server_latency)
2025-06-11 15:09:48,0.014,avg(server_latency)
2025-06-11 15:09:49,0.377,avg(server_latency)
2025-06-11 15:09:50,0.007,avg(server_latency)
2025-06-11 15:09:51,0.016,avg(server_latency)
2025-06-11 15:09:52,0.008,avg(server_latency)
2025-06-11 15:09:53,0.008,avg(server_latency)
2025-06-11 15:09:54,0.003,avg(server_latency)
2025-06-11 15:09:55,0.019,avg(server_latency)
2025-06-11 15:09:56,0.009,avg(server_latency)
2025-06-11 15:09:57,0.025,avg(server_latency)
2025-06-11 15:09:58,0.004,avg(server_latency)
2025-06-11 15:09:59,0.005,avg(server_latency)
2025-06-11 15:10:00,0.01,avg(server_latency)
2025-06-11 15:10:01,0.012,avg(server_latency)
2025-06-11 15:10:02,0.011,avg(server_latency)
2025-06-11 15:10:03,0.016,avg(server_latency)
2025-06-11 15:10:04,0.02,avg(server_latency)
2025-06-11 15:10:05,0.01,avg(server_latency)
2025-06-11 15:10:06,0.007,avg(server_latency)
2025-06-11 15:10:07,0.011,avg(server_latency)
2025-06-11 15:10:08,0.015,avg(server_latency)
2025-06-11 15:10:09,0.009,avg(server_latency)
2025-06-11 15:10:10,0.003,avg(server_latency)
2025-06-11 15:10:11,0.01,avg(server_latency)
2025-06-11 15:10:12,0.028,avg(server_latency)
2025-06-11 15:10:13,0.032,avg(server_latency)
2025-06-11 15:10:14,0.007,avg(server_latency)
2025-06-11 15:10:15,0.012,avg(server_latency)
2025-06-11 15:10:16,0.024,avg(server_latency)
2025-06-11 15:10:17,0.019,avg(server_latency)
2025-06-11 15:10:18,0.028,avg(server_latency)
2025-06-11 15:10:19,0.01,avg(server_latency)
2025-06-11 15:10:20,0.013,avg(server_latency)
2025-06-11 15:10:21,0.033,avg(server_latency)
2025-06-11 15:10:22,0.003,avg(server_latency)
2025-06-11 15:10:23,0.015,avg(server_latency)
2025-06-11 15:10:24,0.016,avg(server_latency)
2025-06-11 15:10:25,0.016,avg(server_latency)
2025-06-11 15:10:26,0.0125,avg(server_latency)
2025-06-11 15:10:27,0.0105,avg(server_latency)
2025-06-11 15:10:28,0.009,avg(server_latency)
2025-06-11 15:10:29,0.0085,avg(server_latency)
2025-06-11 15:10:30,0.006500000000000001,avg(server_latency)
2025-06-11 15:10:31,0.006999999999999999,avg(server_latency)
2025-06-11 15:10:32,0.008,avg(server_latency)
2025-06-11 15:10:33,0.009000000000000001,avg(server_latency)
2025-06-11 15:10:34,0.006,avg(server_latency)
2025-06-11 15:10:35,0.005,avg(server_latency)
2025-06-11 15:10:36,0.006500000000000001,avg(server_latency)
2025-06-11 15:10:37,0.0075,avg(server_latency)
2025-06-11 15:10:38,0.012499999999999999,avg(server_latency)
2025-06-11 15:10:39,0.006,avg(server_latency)
2025-06-11 15:10:40,0.0095,avg(server_latency)
2025-06-11 15:10:41,0.009,avg(server_latency)
2025-06-11 15:10:42,0.013000000000000001,avg(server_latency)
2025-06-11 15:10:43,0.0095,avg(server_latency)
2025-06-11 15:10:44,0.0105,avg(server_latency)
2025-06-11 15:10:45,0.0105,avg(server_latency)
2025-06-11 15:10:46,0.0035,avg(server_latency)
2025-06-11 15:10:47,0.006,avg(server_latency)
2025-06-11 15:10:48,0.0175,avg(server_latency)
2025-06-11 15:10:49,0.012,avg(server_latency)
2025-06-11 15:10:50,0.018000000000000002,avg(server_latency)
2025-06-11 15:10:51,0.014499999999999999,avg(server_latency)
2025-06-11 15:10:52,0.01,avg(server_latency)
2025-06-11 15:10:53,0.010499999999999999,avg(server_latency)
2025-06-11 15:10:54,0.0125,avg(server_latency)
2025-06-11 15:10:55,0.0105,avg(server_latency)
2025-06-11 15:10:56,0.0095,avg(server_latency)
2025-06-11 15:10:57,0.012,avg(server_latency)
2025-06-11 15:10:58,0.011,avg(server_latency)
2025-06-11 15:10:59,0.01,avg(server_latency)
2025-06-11 15:11:00,0.011,avg(server_latency)
2025-06-11 15:11:01,0.0165,avg(server_latency)
2025-06-11 15:11:02,0.0085,avg(server_latency)
2025-06-11 15:11:03,0.018500000000000003,avg(server_latency)
2025-06-11 15:11:04,0.01,avg(server_latency)
2025-06-11 15:11:05,0.01,avg(server_latency)
2025-06-11 15:11:06,0.014,avg(server_latency)
2025-06-11 15:11:07,0.012499999999999999,avg(server_latency)
2025-06-11 15:11:08,0.015000000000000001,avg(server_latency)
2025-06-11 15:11:09,0.023000000000000003,avg(server_latency)
2025-06-11 15:11:10,0.014,avg(server_latency)
2025-06-11 15:11:11,0.021333333333333333,avg(server_latency)
2025-06-11 15:11:12,0.018000000000000002,avg(server_latency)
2025-06-11 15:11:13,0.022000000000000002,avg(server_latency)
2025-06-11 15:11:14,0.008,avg(server_latency)
2025-06-11 15:11:15,0.01933333333333333,avg(server_latency)
2025-06-11 15:11:16,0.021333333333333333,avg(server_latency)
2025-06-11 15:11:17,0.006666666666666667,avg(server_latency)
2025-06-11 15:11:18,0.030666666666666665,avg(server_latency)
2025-06-11 15:11:19,0.009666666666666665,avg(server_latency)
2025-06-11 15:11:20,0.028333333333333332,avg(server_latency)
2025-06-11 15:11:21,0.01933333333333333,avg(server_latency)
2025-06-11 15:11:22,0.02,avg(server_latency)
2025-06-11 15:11:23,0.024999999999999998,avg(server_latency)
2025-06-11 15:11:24,0.016333333333333335,avg(server_latency)
2025-06-11 15:11:25,0.027999999999999997,avg(server_latency)
2025-06-11 15:11:26,0.015666666666666666,avg(server_latency)
2025-06-11 15:11:27,0.013666666666666667,avg(server_latency)
2025-06-11 15:11:28,0.011666666666666667,avg(server_latency)
2025-06-11 15:11:29,0.020666666666666667,avg(server_latency)
2025-06-11 15:11:30,0.013,avg(server_latency)
2025-06-11 15:11:31,0.021333333333333333,avg(server_latency)
2025-06-11 15:11:32,0.005999999999999999,avg(server_latency)
2025-06-11 15:11:33,0.011999999999999999,avg(server_latency)
2025-06-11 15:11:34,0.019,avg(server_latency)
2025-06-11 15:11:35,0.02366666666666667,avg(server_latency)
2025-06-11 15:11:36,0.034333333333333334,avg(server_latency)
2025-06-11 15:11:37,0.029333333333333336,avg(server_latency)
2025-06-11 15:11:38,0.011000000000000001,avg(server_latency)
2025-06-11 15:11:39,0.021666666666666667,avg(server_latency)
2025-06-11 15:11:40,0.021,avg(server_latency)
2025-06-11 15:11:41,0.02466666666666667,avg(server_latency)
2025-06-11 15:11:42,0.02033333333333333,avg(server_latency)
2025-06-11 15:11:43,0.022333333333333334,avg(server_latency)
2025-06-11 15:11:44,0.028,avg(server_latency)
2025-06-11 15:11:45,0.010666666666666666,avg(server_latency)
2025-06-11 15:11:46,0.036333333333333336,avg(server_latency)
2025-06-11 15:11:47,0.010666666666666666,avg(server_latency)
2025-06-11 15:11:48,0.005999999999999999,avg(server_latency)
2025-06-11 15:11:49,0.019,avg(server_latency)
2025-06-11 15:11:50,0.024666666666666667,avg(server_latency)
2025-06-11 15:11:51,0.02666666666666667,avg(server_latency)
2025-06-11 15:11:52,0.015000000000000001,avg(server_latency)
2025-06-11 15:11:53,0.016999999999999998,avg(server_latency)
2025-06-11 15:11:54,0.022999999999999996,avg(server_latency)
2025-06-11 15:11:55,0.008666666666666666,avg(server_latency)
2025-06-11 15:11:56,0.033,avg(server_latency)
2025-06-11 15:11:57,0.043375,avg(server_latency)
2025-06-11 15:11:58,0.026,avg(server_latency)
2025-06-11 15:11:59,0.033875,avg(server_latency)
2025-06-11 15:12:00,0.025875000000000002,avg(server_latency)
2025-06-11 15:12:01,0.027375,avg(server_latency)
2025-06-11 15:12:02,0.026625,avg(server_latency)
2025-06-11 15:12:03,0.019375,avg(server_latency)
2025-06-11 15:12:04,0.026375,avg(server_latency)
2025-06-11 15:12:05,0.02625,avg(server_latency)
2025-06-11 15:12:06,0.02675,avg(server_latency)
2025-06-11 15:12:07,0.027875,avg(server_latency)
2025-06-11 15:12:08,0.025125,avg(server_latency)
2025-06-11 15:12:09,0.026125,avg(server_latency)
2025-06-11 15:12:10,0.02575,avg(server_latency)
2025-06-11 15:12:11,0.02425,avg(server_latency)
2025-06-11 15:12:12,0.030375000000000003,avg(server_latency)
2025-06-11 15:12:13,0.02525,avg(server_latency)
2025-06-11 15:12:14,0.038875,avg(server_latency)
2025-06-11 15:12:15,0.01625,avg(server_latency)
2025-06-11 15:12:16,0.022375,avg(server_latency)
2025-06-11 15:12:17,0.020375,avg(server_latency)
2025-06-11 15:12:18,0.015,avg(server_latency)
2025-06-11 15:12:19,0.02725,avg(server_latency)
2025-06-11 15:12:20,0.024625,avg(server_latency)
2025-06-11 15:12:21,0.022625,avg(server_latency)
2025-06-11 15:12:22,0.025375,avg(server_latency)
2025-06-11 15:12:23,0.0265,avg(server_latency)
2025-06-11 15:12:24,0.026,avg(server_latency)
2025-06-11 15:12:25,0.02025,avg(server_latency)
2025-06-11 15:12:26,0.02475,avg(server_latency)
2025-06-11 15:12:27,0.028875,avg(server_latency)
2025-06-11 15:12:28,0.02375,avg(server_latency)
2025-06-11 15:12:29,0.016125,avg(server_latency)
2025-06-11 15:12:30,0.017875,avg(server_latency)
2025-06-11 15:12:31,0.022125,avg(server_latency)
2025-06-11 15:12:32,0.028625,avg(server_latency)
2025-06-11 15:12:33,0.028499999999999998,avg(server_latency)
2025-06-11 15:12:34,0.0205,avg(server_latency)
2025-06-11 15:12:35,0.025375,avg(server_latency)
2025-06-11 15:12:36,0.024125,avg(server_latency)
2025-06-11 15:12:37,0.027125,avg(server_latency)
2025-06-11 15:12:38,0.026125,avg(server_latency)
2025-06-11 15:12:39,0.03225,avg(server_latency)
2025-06-11 15:12:40,0.0175,avg(server_latency)
2025-06-11 15:12:41,0.023625,avg(server_latency)
2025-06-11 15:12:42,0.022125,avg(server_latency)
2025-06-11 15:12:43,0.025500000000000002,avg(server_latency)
2025-06-11 15:12:44,0.027,avg(server_latency)
2025-06-11 15:12:45,0.02675,avg(server_latency)
2025-06-11 15:12:46,0.033375,avg(server_latency)
2025-06-11 15:12:47,0.0345,avg(server_latency)
2025-06-11 15:12:48,0.03275,avg(server_latency)
2025-06-11 15:12:49,0.02,avg(server_latency)
2025-06-11 15:12:50,0.02275,avg(server_latency)
2025-06-11 15:12:51,0.029875,avg(server_latency)
2025-06-11 15:12:52,0.0195,avg(server_latency)
2025-06-11 15:12:53,0.018125,avg(server_latency)
2025-06-11 15:12:54,0.033625,avg(server_latency)
2025-06-11 15:12:55,0.0315,avg(server_latency)
2025-06-11 15:12:56,0.0265,avg(server_latency)
2025-06-11 15:12:57,0.020375,avg(server_latency)
2025-06-11 15:12:58,0.021375,avg(server_latency)
2025-06-11 15:12:59,0.02825,avg(server_latency)
2025-06-11 15:13:00,0.021125,avg(server_latency)
2025-06-11 15:13:01,0.03,avg(server_latency)
2025-06-11 15:13:02,0.030125,avg(server_latency)
2025-06-11 15:13:03,0.021500000000000002,avg(server_latency)
2025-06-11 15:13:04,0.027875,avg(server_latency)
2025-06-11 15:13:05,0.01675,avg(server_latency)
2025-06-11 15:13:06,0.026375,avg(server_latency)
2025-06-11 15:13:07,0.021625000000000002,avg(server_latency)
2025-06-11 15:13:08,0.031625,avg(server_latency)
2025-06-11 15:13:09,0.026375,avg(server_latency)
2025-06-11 15:13:10,0.026875,avg(server_latency)
2025-06-11 15:13:11,0.023625,avg(server_latency)
2025-06-11 15:13:12,0.031125,avg(server_latency)
2025-06-11 15:13:13,0.027,avg(server_latency)
2025-06-11 15:13:14,0.0435,avg(server_latency)
2025-06-11 15:13:15,0.029,avg(server_latency)
2025-06-11 15:13:16,0.01825,avg(server_latency)
2025-06-11 15:13:17,0.027,avg(server_latency)
2025-06-11 15:13:18,0.026875,avg(server_latency)
2025-06-11 15:13:19,0.03625,avg(server_latency)
2025-06-11 15:13:20,0.031,avg(server_latency)
2025-06-11 15:13:21,0.01575,avg(server_latency)
2025-06-11 15:13:22,0.017499999999999998,avg(server_latency)
2025-06-11 15:13:23,0.0195,avg(server_latency)
2025-06-11 15:13:24,0.02625,avg(server_latency)
2025-06-11 15:13:25,0.03175,avg(server_latency)
2025-06-11 15:13:26,0.017777777777777778,avg(server_latency)
2025-06-11 15:13:27,0.0365,avg(server_latency)
2025-06-11 15:13:28,0.016,avg(server_latency)
2025-06-11 15:13:29,0.026600000000000002,avg(server_latency)
2025-06-11 15:13:30,0.0227,avg(server_latency)
2025-06-11 15:13:31,0.0188,avg(server_latency)
2025-06-11 15:13:32,0.014499999999999999,avg(server_latency)
2025-06-11 15:13:33,0.0216,avg(server_latency)
2025-06-11 15:13:34,0.013000000000000001,avg(server_latency)
2025-06-11 15:13:35,0.0221,avg(server_latency)
2025-06-11 15:13:36,0.012199999999999999,avg(server_latency)
2025-06-11 15:13:37,0.0216,avg(server_latency)
2025-06-11 15:13:38,0.022,avg(server_latency)
2025-06-11 15:13:39,0.0156,avg(server_latency)
