timestamp,value,metric,chunk_owner
2025-06-11 15:08:30,2.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 15:09:29,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 15:11:55,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:56,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:57,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:58,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:59,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:00,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:01,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:02,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:03,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:04,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:05,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:06,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:07,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:08,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:09,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:10,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:11,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:12,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:13,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:14,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:15,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:16,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:17,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:18,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:19,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:20,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:21,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:22,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:23,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:24,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:25,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:26,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:27,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:28,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:29,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:30,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:31,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:32,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:33,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:34,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:35,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:36,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:37,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:38,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:39,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:40,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:41,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:42,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:43,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:44,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:45,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:46,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:47,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:48,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:49,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:50,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:51,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:52,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-5kzjj
