timestamp,value,metric,owner
2025-06-11 15:11:08,22.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:09,46.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:10,62.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:11,78.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:12,81.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:13,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:14,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:15,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:16,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:17,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:18,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:19,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:20,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:21,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:22,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:23,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:24,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:25,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:26,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:27,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:28,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:29,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:30,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:31,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:32,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:33,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:34,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:35,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:36,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:37,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:38,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:39,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:40,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:41,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:42,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:43,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:44,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:45,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:46,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:47,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:48,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:49,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:50,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:51,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:52,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:53,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:54,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:55,93.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:56,103.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:57,129.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:58,157.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:11:59,194.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:00,250.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:01,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:02,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:03,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:04,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:05,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:06,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:07,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:08,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:09,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:10,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:11,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:12,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:13,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:14,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:15,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:16,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:17,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:18,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:19,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:20,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:21,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:22,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:23,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:24,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:25,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:26,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:27,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:28,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:29,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:30,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:31,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:32,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:33,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:34,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:35,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:36,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:37,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:38,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:39,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:40,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:41,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:42,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:43,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:44,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:45,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:46,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:47,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:48,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:49,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:50,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:51,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:52,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:53,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:54,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:55,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:56,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:57,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:58,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:12:59,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:00,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:01,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:02,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:03,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:04,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:05,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:06,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:07,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:08,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:09,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:10,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:11,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:12,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:13,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:14,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:15,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:16,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:17,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:18,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:19,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:20,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
2025-06-11 15:13:21,274.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-5kzjj
