timestamp,value,metric,chunk_owner
2025-06-11 17:32:22,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 17:49:59,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-69xf4
2025-06-11 17:50:00,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-69xf4
2025-06-11 17:50:01,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-69xf4
2025-06-11 17:50:02,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-69xf4
2025-06-11 17:50:03,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-69xf4
2025-06-11 17:50:04,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-69xf4
2025-06-11 17:34:50,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:51,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:52,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:53,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:54,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:55,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:56,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:57,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:58,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:34:59,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:35:00,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:35:01,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:35:02,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:35:03,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
2025-06-11 17:35:04,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-9xfk9
