timestamp,value,metric
2025-06-11 14:16:29,0.026,avg(server_latency)
2025-06-11 14:16:30,0.014,avg(server_latency)
2025-06-11 14:16:31,0.03,avg(server_latency)
2025-06-11 14:16:32,0.016,avg(server_latency)
2025-06-11 14:16:33,0.083,avg(server_latency)
2025-06-11 14:16:34,0.01,avg(server_latency)
2025-06-11 14:16:35,0.043,avg(server_latency)
2025-06-11 14:16:36,0.017,avg(server_latency)
2025-06-11 14:16:37,0.091,avg(server_latency)
2025-06-11 14:16:38,0.011,avg(server_latency)
2025-06-11 14:16:39,0.093,avg(server_latency)
2025-06-11 14:16:40,0.011,avg(server_latency)
2025-06-11 14:16:41,0.047,avg(server_latency)
2025-06-11 14:16:42,0.018,avg(server_latency)
2025-06-11 14:16:43,0.065,avg(server_latency)
2025-06-11 14:16:44,0.012,avg(server_latency)
2025-06-11 14:16:45,0.076,avg(server_latency)
2025-06-11 14:16:46,0.013,avg(server_latency)
2025-06-11 14:16:47,0.051,avg(server_latency)
2025-06-11 14:16:48,0.02,avg(server_latency)
2025-06-11 14:16:49,0.064,avg(server_latency)
2025-06-11 14:16:50,0.009,avg(server_latency)
2025-06-11 14:16:51,0.087,avg(server_latency)
2025-06-11 14:16:52,0.02,avg(server_latency)
2025-06-11 14:16:53,0.101,avg(server_latency)
2025-06-11 14:16:54,0.007,avg(server_latency)
2025-06-11 14:16:55,0.108,avg(server_latency)
2025-06-11 14:16:56,0.023,avg(server_latency)
2025-06-11 14:16:57,0.071,avg(server_latency)
2025-06-11 14:16:58,0.015,avg(server_latency)
2025-06-11 14:16:59,0.105,avg(server_latency)
2025-06-11 14:17:00,0.029,avg(server_latency)
2025-06-11 14:17:01,0.104,avg(server_latency)
2025-06-11 14:17:02,0.007,avg(server_latency)
2025-06-11 14:17:03,0.085,avg(server_latency)
2025-06-11 14:17:04,0.01,avg(server_latency)
2025-06-11 14:17:05,0.101,avg(server_latency)
2025-06-11 14:17:06,0.029,avg(server_latency)
2025-06-11 14:17:07,0.106,avg(server_latency)
2025-06-11 14:17:08,0.01,avg(server_latency)
2025-06-11 14:17:09,0.07350000000000001,avg(server_latency)
2025-06-11 14:17:10,0.0085,avg(server_latency)
2025-06-11 14:17:11,0.038000000000000006,avg(server_latency)
2025-06-11 14:17:12,0.012,avg(server_latency)
2025-06-11 14:17:13,0.067,avg(server_latency)
