timestamp,value,metric
2025-06-11 14:16:29,0.026,min(server_latency)
2025-06-11 14:16:30,0.014,min(server_latency)
2025-06-11 14:16:31,0.03,min(server_latency)
2025-06-11 14:16:32,0.016,min(server_latency)
2025-06-11 14:16:33,0.083,min(server_latency)
2025-06-11 14:16:34,0.01,min(server_latency)
2025-06-11 14:16:35,0.043,min(server_latency)
2025-06-11 14:16:36,0.017,min(server_latency)
2025-06-11 14:16:37,0.091,min(server_latency)
2025-06-11 14:16:38,0.011,min(server_latency)
2025-06-11 14:16:39,0.093,min(server_latency)
2025-06-11 14:16:40,0.011,min(server_latency)
2025-06-11 14:16:41,0.047,min(server_latency)
2025-06-11 14:16:42,0.018,min(server_latency)
2025-06-11 14:16:43,0.065,min(server_latency)
2025-06-11 14:16:44,0.012,min(server_latency)
2025-06-11 14:16:45,0.076,min(server_latency)
2025-06-11 14:16:46,0.013,min(server_latency)
2025-06-11 14:16:47,0.051,min(server_latency)
2025-06-11 14:16:48,0.02,min(server_latency)
2025-06-11 14:16:49,0.064,min(server_latency)
2025-06-11 14:16:50,0.009,min(server_latency)
2025-06-11 14:16:51,0.087,min(server_latency)
2025-06-11 14:16:52,0.02,min(server_latency)
2025-06-11 14:16:53,0.101,min(server_latency)
2025-06-11 14:16:54,0.007,min(server_latency)
2025-06-11 14:16:55,0.108,min(server_latency)
2025-06-11 14:16:56,0.023,min(server_latency)
2025-06-11 14:16:57,0.071,min(server_latency)
2025-06-11 14:16:58,0.015,min(server_latency)
2025-06-11 14:16:59,0.105,min(server_latency)
2025-06-11 14:17:00,0.029,min(server_latency)
2025-06-11 14:17:01,0.104,min(server_latency)
2025-06-11 14:17:02,0.007,min(server_latency)
2025-06-11 14:17:03,0.085,min(server_latency)
2025-06-11 14:17:04,0.01,min(server_latency)
2025-06-11 14:17:05,0.101,min(server_latency)
2025-06-11 14:17:06,0.029,min(server_latency)
2025-06-11 14:17:07,0.106,min(server_latency)
2025-06-11 14:17:08,0.01,min(server_latency)
2025-06-11 14:17:09,0.066,min(server_latency)
2025-06-11 14:17:10,0.008,min(server_latency)
2025-06-11 14:17:11,0.006,min(server_latency)
2025-06-11 14:17:12,0.007,min(server_latency)
2025-06-11 14:17:13,0.065,min(server_latency)
2025-06-11 14:17:14,0.005,min(server_latency)
2025-06-11 14:17:15,0.063,min(server_latency)
2025-06-11 14:17:16,0.007,min(server_latency)
2025-06-11 14:17:17,0.029,min(server_latency)
2025-06-11 14:17:18,0.004,min(server_latency)
2025-06-11 14:17:19,0.073,min(server_latency)
2025-06-11 14:17:20,0.006,min(server_latency)
2025-06-11 14:17:21,0.04,min(server_latency)
2025-06-11 14:17:22,0.024,min(server_latency)
2025-06-11 14:17:23,0.035,min(server_latency)
2025-06-11 14:17:24,0.005,min(server_latency)
2025-06-11 14:17:25,0.019,min(server_latency)
2025-06-11 14:17:26,0.005,min(server_latency)
2025-06-11 14:17:27,0.032,min(server_latency)
2025-06-11 14:17:28,0.006,min(server_latency)
2025-06-11 14:17:29,0.044,min(server_latency)
2025-06-11 14:17:30,0.005,min(server_latency)
2025-06-11 14:17:31,0.049,min(server_latency)
2025-06-11 14:17:32,0.007,min(server_latency)
2025-06-11 14:17:33,0.034,min(server_latency)
2025-06-11 14:17:34,0.009,min(server_latency)
2025-06-11 14:17:35,0.043,min(server_latency)
2025-06-11 14:17:36,0.01,min(server_latency)
2025-06-11 14:17:37,0.022,min(server_latency)
2025-06-11 14:17:38,0.007,min(server_latency)
2025-06-11 14:17:39,0.023,min(server_latency)
2025-06-11 14:17:40,0.008,min(server_latency)
2025-06-11 14:17:41,0.047,min(server_latency)
2025-06-11 14:17:42,0.009,min(server_latency)
2025-06-11 14:17:43,0.041,min(server_latency)
2025-06-11 14:17:44,0.024,min(server_latency)
2025-06-11 14:17:45,0.048,min(server_latency)
2025-06-11 14:17:46,0.007,min(server_latency)
2025-06-11 14:17:47,0.044,min(server_latency)
2025-06-11 14:17:48,0.006,min(server_latency)
2025-06-11 14:17:49,0.005,min(server_latency)
2025-06-11 14:17:50,0.004,min(server_latency)
2025-06-11 14:17:51,0.006,min(server_latency)
2025-06-11 14:17:52,0.004,min(server_latency)
2025-06-11 14:17:53,0.006,min(server_latency)
2025-06-11 14:17:54,0.005,min(server_latency)
2025-06-11 14:17:55,0.005,min(server_latency)
2025-06-11 14:17:56,0.004,min(server_latency)
2025-06-11 14:17:57,0.006,min(server_latency)
2025-06-11 14:17:58,0.005,min(server_latency)
2025-06-11 14:17:59,0.004,min(server_latency)
2025-06-11 14:18:00,0.005,min(server_latency)
2025-06-11 14:18:01,0.006,min(server_latency)
2025-06-11 14:18:02,0.004,min(server_latency)
2025-06-11 14:18:03,0.004,min(server_latency)
