timestamp,value,metric
2025-06-11 18:31:53,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:31:54,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:31:55,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:31:56,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:31:57,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:31:58,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:31:59,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:00,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:01,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:02,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:03,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:04,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:05,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:06,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:07,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:08,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:09,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:10,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:11,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:12,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:13,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:14,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:15,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:16,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:17,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:18,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:19,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:20,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:21,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:22,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:23,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:24,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:25,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:26,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:27,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:28,1.0,count(count by(server_name) (mc_tps))
2025-06-11 18:32:29,1.0,count(count by(server_name) (mc_tps))
