timestamp,value,metric,owner
2025-06-17 19:18:02,8.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:03,12.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:04,27.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:05,65.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:06,89.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:07,111.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:08,136.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:09,151.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:10,149.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:11,158.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:12,166.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:13,168.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:14,174.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:15,182.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:16,182.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:17,179.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:18,189.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:19,189.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:20,225.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:21,225.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:22,245.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:23,263.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:24,263.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:25,284.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:26,284.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:27,295.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:28,295.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:29,302.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:30,302.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:31,309.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:32,318.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:33,318.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
2025-06-17 19:18:34,324.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-25mxd
