timestamp,value,metric
2025-06-18 09:10:18,0.053,max(server_latency)
2025-06-18 09:10:19,0.053,max(server_latency)
2025-06-18 09:10:20,0.101,max(server_latency)
2025-06-18 09:10:21,0.116,max(server_latency)
2025-06-18 09:10:22,0.108,max(server_latency)
2025-06-18 09:10:23,0.035,max(server_latency)
2025-06-18 09:10:24,0.114,max(server_latency)
2025-06-18 09:10:25,0.057,max(server_latency)
2025-06-18 09:10:26,0.043,max(server_latency)
2025-06-18 09:10:27,0.066,max(server_latency)
2025-06-18 09:10:28,0.115,max(server_latency)
2025-06-18 09:10:29,0.244,max(server_latency)
2025-06-18 09:10:30,0.021,max(server_latency)
2025-06-18 09:10:31,0.042,max(server_latency)
2025-06-18 09:10:32,0.114,max(server_latency)
2025-06-18 09:10:33,0.061,max(server_latency)
2025-06-18 09:10:34,0.084,max(server_latency)
2025-06-18 09:10:35,0.06,max(server_latency)
2025-06-18 09:10:36,0.063,max(server_latency)
2025-06-18 09:10:37,0.128,max(server_latency)
2025-06-18 09:10:38,0.059,max(server_latency)
2025-06-18 09:10:39,0.056,max(server_latency)
2025-06-18 09:10:40,0.136,max(server_latency)
2025-06-18 09:10:41,0.047,max(server_latency)
2025-06-18 09:10:42,0.131,max(server_latency)
2025-06-18 09:10:43,0.046,max(server_latency)
2025-06-18 09:10:44,0.203,max(server_latency)
2025-06-18 09:10:45,0.061,max(server_latency)
2025-06-18 09:10:46,0.111,max(server_latency)
2025-06-18 09:10:47,0.058,max(server_latency)
2025-06-18 09:10:48,0.115,max(server_latency)
2025-06-18 09:10:49,0.06,max(server_latency)
2025-06-18 09:10:50,0.112,max(server_latency)
2025-06-18 09:10:51,0.06,max(server_latency)
2025-06-18 09:10:52,0.117,max(server_latency)
2025-06-18 09:10:53,0.056,max(server_latency)
2025-06-18 09:10:54,0.114,max(server_latency)
2025-06-18 09:10:55,0.128,max(server_latency)
2025-06-18 09:10:56,0.135,max(server_latency)
2025-06-18 09:10:57,0.065,max(server_latency)
2025-06-18 09:10:58,0.106,max(server_latency)
2025-06-18 09:10:59,0.059,max(server_latency)
2025-06-18 09:11:00,0.08,max(server_latency)
2025-06-18 09:11:01,0.044,max(server_latency)
2025-06-18 09:11:02,0.113,max(server_latency)
2025-06-18 09:11:03,0.068,max(server_latency)
2025-06-18 09:11:04,0.109,max(server_latency)
2025-06-18 09:11:05,0.066,max(server_latency)
2025-06-18 09:11:06,0.103,max(server_latency)
2025-06-18 09:11:07,0.075,max(server_latency)
2025-06-18 09:11:08,0.129,max(server_latency)
2025-06-18 09:11:09,0.146,max(server_latency)
2025-06-18 09:11:10,0.141,max(server_latency)
2025-06-18 09:11:11,0.054,max(server_latency)
2025-06-18 09:11:12,0.099,max(server_latency)
2025-06-18 09:11:13,0.156,max(server_latency)
2025-06-18 09:11:14,0.121,max(server_latency)
2025-06-18 09:11:15,0.069,max(server_latency)
2025-06-18 09:11:16,0.113,max(server_latency)
2025-06-18 09:11:17,0.078,max(server_latency)
2025-06-18 09:11:18,0.125,max(server_latency)
2025-06-18 09:11:19,0.061,max(server_latency)
2025-06-18 09:11:20,0.23,max(server_latency)
2025-06-18 09:11:21,0.25,max(server_latency)
2025-06-18 09:11:22,0.154,max(server_latency)
2025-06-18 09:11:23,0.169,max(server_latency)
2025-06-18 09:11:24,0.133,max(server_latency)
2025-06-18 09:11:25,0.054,max(server_latency)
2025-06-18 09:11:26,0.084,max(server_latency)
2025-06-18 09:11:27,0.065,max(server_latency)
2025-06-18 09:11:28,0.124,max(server_latency)
2025-06-18 09:11:29,0.119,max(server_latency)
2025-06-18 09:11:30,0.071,max(server_latency)
2025-06-18 09:11:31,0.052,max(server_latency)
2025-06-18 09:11:32,0.07,max(server_latency)
2025-06-18 09:11:33,0.116,max(server_latency)
2025-06-18 09:11:34,0.105,max(server_latency)
2025-06-18 09:11:35,0.117,max(server_latency)
2025-06-18 09:11:36,0.093,max(server_latency)
2025-06-18 09:11:37,0.142,max(server_latency)
2025-06-18 09:11:38,0.095,max(server_latency)
2025-06-18 09:11:39,0.105,max(server_latency)
2025-06-18 09:11:40,0.07,max(server_latency)
2025-06-18 09:11:41,0.057,max(server_latency)
2025-06-18 09:11:42,0.076,max(server_latency)
2025-06-18 09:11:43,0.054,max(server_latency)
2025-06-18 09:11:44,0.125,max(server_latency)
2025-06-18 09:11:45,0.108,max(server_latency)
2025-06-18 09:11:46,0.176,max(server_latency)
2025-06-18 09:11:47,0.342,max(server_latency)
2025-06-18 09:11:48,0.082,max(server_latency)
2025-06-18 09:11:49,0.147,max(server_latency)
2025-06-18 09:11:50,0.129,max(server_latency)
2025-06-18 09:11:51,0.08,max(server_latency)
2025-06-18 09:11:52,0.155,max(server_latency)
2025-06-18 09:11:53,0.143,max(server_latency)
2025-06-18 09:11:54,0.133,max(server_latency)
2025-06-18 09:11:55,0.23,max(server_latency)
2025-06-18 09:11:56,0.179,max(server_latency)
2025-06-18 09:11:57,0.127,max(server_latency)
2025-06-18 09:11:58,0.133,max(server_latency)
2025-06-18 09:11:59,0.135,max(server_latency)
2025-06-18 09:12:00,0.128,max(server_latency)
2025-06-18 09:12:01,0.129,max(server_latency)
2025-06-18 09:12:02,0.203,max(server_latency)
2025-06-18 09:12:03,0.204,max(server_latency)
2025-06-18 09:12:04,0.288,max(server_latency)
2025-06-18 09:12:05,0.079,max(server_latency)
2025-06-18 09:12:06,0.162,max(server_latency)
2025-06-18 09:12:07,0.072,max(server_latency)
2025-06-18 09:12:08,0.104,max(server_latency)
2025-06-18 09:12:09,0.077,max(server_latency)
2025-06-18 09:12:10,0.16,max(server_latency)
2025-06-18 09:12:11,0.065,max(server_latency)
2025-06-18 09:12:12,0.135,max(server_latency)
2025-06-18 09:12:13,0.089,max(server_latency)
2025-06-18 09:12:14,0.149,max(server_latency)
2025-06-18 09:12:15,0.064,max(server_latency)
2025-06-18 09:12:16,0.111,max(server_latency)
2025-06-18 09:12:17,0.224,max(server_latency)
2025-06-18 09:12:18,0.143,max(server_latency)
2025-06-18 09:12:19,0.269,max(server_latency)
2025-06-18 09:12:20,0.247,max(server_latency)
2025-06-18 09:12:21,0.081,max(server_latency)
2025-06-18 09:12:22,0.083,max(server_latency)
2025-06-18 09:12:23,0.053,max(server_latency)
2025-06-18 09:12:24,0.095,max(server_latency)
2025-06-18 09:12:25,0.159,max(server_latency)
2025-06-18 09:12:26,0.212,max(server_latency)
2025-06-18 09:12:27,0.112,max(server_latency)
2025-06-18 09:12:28,0.18,max(server_latency)
2025-06-18 09:12:29,0.098,max(server_latency)
2025-06-18 09:12:30,0.135,max(server_latency)
2025-06-18 09:12:31,0.095,max(server_latency)
2025-06-18 09:12:32,0.117,max(server_latency)
2025-06-18 09:12:33,0.101,max(server_latency)
2025-06-18 09:12:34,0.103,max(server_latency)
2025-06-18 09:12:35,0.102,max(server_latency)
2025-06-18 09:12:36,0.134,max(server_latency)
2025-06-18 09:12:37,0.085,max(server_latency)
2025-06-18 09:12:38,0.151,max(server_latency)
2025-06-18 09:12:39,0.1,max(server_latency)
2025-06-18 09:12:40,0.086,max(server_latency)
2025-06-18 09:12:41,0.081,max(server_latency)
2025-06-18 09:12:42,0.089,max(server_latency)
2025-06-18 09:12:43,0.124,max(server_latency)
2025-06-18 09:12:44,0.1,max(server_latency)
2025-06-18 09:12:45,0.079,max(server_latency)
2025-06-18 09:12:46,0.098,max(server_latency)
2025-06-18 09:12:47,0.085,max(server_latency)
2025-06-18 09:12:48,0.088,max(server_latency)
2025-06-18 09:12:49,0.095,max(server_latency)
2025-06-18 09:12:50,0.12,max(server_latency)
