timestamp,value,metric,app,instance,job,namespace,pod_template_hash,server_name
2025-06-18 09:10:08.585000038,19.999581816744044,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:09.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:10.585000038,19.999897396526375,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:11.585000038,19.99991338837508,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:12.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:13.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:14.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:15.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:16.585000038,19.203471260022692,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:17.585000038,19.99937512752389,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:18.585000038,19.98351735108991,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:19.585000038,19.999468814108297,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:20.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:21.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:22.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:23.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:24.585000038,19.999932224229678,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:25.585000038,19.99997914802174,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:26.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:27.585000038,19.999841697252997,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:28.585000038,19.999819253633476,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:29.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:30.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:31.585000038,19.999833761381776,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:32.585000038,19.999959512081965,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:33.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:34.585000038,19.140487870815814,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:35.585000038,19.99918542517796,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:36.585000038,19.999591556341482,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
2025-06-18 09:10:37.585000038,20.0,mc_tps,multipaper-server,10.244.140.137:9100,minecraft-server,multipaper-marina,5d4c584f66,multipaper-server-5d4c584f66-tfw68
