timestamp,value,metric
2025-06-24 10:33:10,0.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:11,0.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:12,0.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:13,0.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:14,0.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:15,0.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:16,0.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:17,1.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:18,1.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:19,2.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:20,2.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:21,3.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:22,3.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:23,3.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:24,4.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:25,4.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:26,5.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:27,6.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:28,6.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:29,6.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:30,7.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:31,7.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:32,8.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:33,8.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:34,9.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:35,9.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:36,10.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:37,10.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:38,11.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:39,11.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:40,12.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:41,12.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:42,13.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:43,13.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:44,14.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:45,15.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:46,15.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:47,16.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:48,16.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:49,17.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:50,17.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:51,18.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:52,18.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:53,19.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:54,19.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:55,19.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:56,20.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:57,20.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:58,20.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:33:59,21.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:00,22.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:01,22.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:02,23.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:03,23.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:04,23.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:05,24.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:06,24.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:07,25.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:08,26.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:09,27.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:10,27.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:11,28.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:12,28.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:13,28.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:14,29.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:15,30.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:16,30.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:17,31.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:18,31.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:19,31.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:20,32.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:21,32.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:22,33.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:23,33.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:24,34.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:25,34.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:26,35.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:27,35.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:28,35.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:29,36.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:30,36.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:31,37.0,sum(mc_players_online_local{world='world'})
2025-06-24 10:34:32,38.0,sum(mc_players_online_local{world='world'})
