timestamp,value,metric,owner
2025-06-11 21:23:32,3.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:33,3.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:34,6.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:35,15.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:36,18.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:37,18.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:38,28.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:39,37.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:40,47.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:41,59.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:42,65.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:43,73.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:44,78.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:45,83.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:46,94.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:47,105.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:48,110.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:49,113.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:50,113.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:51,126.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:52,133.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:53,140.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:54,140.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:55,140.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:56,146.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:57,149.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:58,164.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:23:59,169.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:00,178.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:01,183.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:02,190.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:03,197.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:04,197.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:05,204.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:06,220.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:07,228.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:08,255.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:09,271.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:10,309.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:11,322.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:12,348.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:13,410.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:14,419.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
2025-06-11 21:24:15,454.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-26f4w
